praatword,onset,offset,section,subtlfreq,pos,content,vec10
他,134.5412389,134.6808535,2,11853.78,PN,0,
非常,134.6808535,134.9659,2,804.14,AD,1,-0.43026
漂亮,134.9659,135.4022902,2,328.86,VA,1,-0.32537
他,135.9864351,136.1085978,2,11853.78,PN,0,
笑,136.1085978,136.3209284,2,197.58,VV,1,-0.20735
着,136.3209284,136.5302902,2,2983.65,VV,1,-0.3494
想,136.7834017,136.9928236,2,6325.1,VV,1,-0.37962
要,136.9928236,137.1440727,2,7114.18,VV,1,-0.52022
一,137.1440727,137.2487836,2,6069.96,CD,0,
只,137.2487836,137.4000328,2,2167.08,AD,1,-0.45033
羊,137.4000328,137.6908965,2,20.78,NN,1,-0.15193
他,138.3221195,138.4617341,2,11853.78,PN,0,
想,138.4617341,138.6420696,2,6325.1,VV,1,-0.60352
要,138.6420696,138.7584151,2,7114.18,VV,1,-0.69939
一,138.7584151,138.8805779,2,6069.96,CD,0,
只,138.8805779,138.9940147,2,2167.08,AD,1,-0.51891
小,138.9940147,139.2383403,2,1042.34,VA,1,-0.19262
羊,139.2383403,139.4982902,2,20.78,NN,1,-0.34225
这,140.0120378,140.122566,2,8554.9,PN,0,
就,140.122566,140.2476374,2,8246.34,AD,1,-0.45638
证明,140.2476374,140.5016992,2,178.47,VV,1,-0.20443
他,140.5016992,140.6442224,2,11853.78,PN,0,
的,140.6442224,140.7343902,2,50155.13,DEG,0,
存在,140.7343902,141.1532339,2,108.12,VV,1,-0.24922
但是,142.1043583,142.3445603,2,1571.49,AD,1,-0.53085
告诉,142.3445603,142.6208809,2,1824.99,VV,1,-0.33139
他们,142.6208809,142.9862902,2,4187.02,PN,0,
有,143.2262902,143.339141,2,8618.15,VE,1,-0.46194
什么,143.339141,143.571832,2,7050.42,PN,0,
好处,143.571832,143.996493,2,52.94,NN,1,-0.50634
呢,143.996493,144.1593767,2,2287.93,SP,0,
他们,144.7294696,144.9553025,2,4187.02,PN,0,
一定,144.9553025,145.2083539,2,604.33,AD,1,-0.49967
会,145.2083539,145.3450598,2,7927.17,VV,1,-0.36329
耸,145.3450598,145.729,2,1.13,NN,1,0.063336
耸,145.3450598,145.729,2,1.13,NN,1,0.060105
肩膀,145.729,146.1507524,2,20.45,NN,1,-0.19921
把,146.4096211,146.4852456,2,3712.28,BA,0,
你,146.4852456,146.610317,2,39629.27,PN,0,
当作,146.610317,146.8866376,2,32.64,VV,1,-0.29507
孩子,146.8866376,147.2536792,2,1110.19,NN,1,-0.29626
看待,147.2536792,147.608533,2,10.82,VV,1,-0.39557
但是,148.4882294,148.8982902,2,1571.49,AD,1,-0.50132
如果,149.4182902,149.624498,2,2277.94,CS,0,
你,149.624498,149.7495694,2,39629.27,PN,0,
对,149.7495694,149.8659149,2,3958.83,VA,1,-0.48178
他们,149.8659149,150.1160577,2,4187.02,PN,0,
说,150.1160577,150.3542902,2,6765.38,VV,1,-0.401
小,150.8603122,151.0372933,2,1042.34,VA,1,-0.25744
王子,151.0372933,151.4037816,2,31.93,NN,1,-0.081136
来自,151.4037816,151.656833,2,133.01,VV,1,-0.1882
的,151.656833,151.7499094,2,50155.13,DEG,0,
星球,151.7499094,152.1782902,2,43.34,NN,1,-0.2568
就,152.4741601,152.6079574,2,8246.34,AD,1,-0.42662
是,152.6079574,152.7301202,2,28253.52,VC,1,-0.47714
小,152.7301202,152.9519169,2,1042.34,VA,1,-0.43565
行星,152.9519169,153.3622902,2,10.31,NN,1,-0.2813
B612,153.4822902,154.1095545,2,,NR,1,
那么,154.6822902,154.8877121,2,1245.85,AD,1,-0.35098
他们,154.8877121,155.161124,2,4187.02,PN,0,
就,155.161124,155.2774695,2,8246.34,AD,1,-0.45718
十分,155.2774695,155.5770591,2,56.64,AD,1,-0.29101
信服,155.5770591,156.0686188,2,2.92,VV,1,-0.2122
他们,156.635803,156.8743113,2,4187.02,PN,0,
就,156.8743113,157.0182902,2,8246.34,AD,1,-0.71221
不,157.0182902,157.1311111,2,20543.44,AD,1,-0.47808
会,157.1311111,157.2794516,2,7927.17,VV,1,-0.40602
提出,157.2794516,157.5528635,2,42.3,VV,1,-0.19376
一,157.5528635,157.669209,2,6069.96,CD,0,
大,157.669209,157.8350013,2,1343.24,VA,1,-0.19976
堆,157.8350013,158.0124282,2,69.34,VV,1,-0.14366
问题,158.0124282,158.3032919,2,994.56,NN,1,-0.47261
来,158.3032919,158.4458151,2,5519.32,VV,1,-0.33898
和,158.4458151,158.5650692,2,4483.86,P,0,
你,158.5650692,158.7087076,2,39629.27,PN,0,
纠缠,158.7087076,159.1622902,2,9.78,VV,1,-0.28843
他们,159.9536044,160.1921126,2,4187.02,PN,0,
就,160.1921126,160.3782654,2,8246.34,AD,1,-0.62053
是,160.3782654,160.5004282,2,28253.52,VC,1,-0.42371
这样,160.5004282,160.8029264,2,1916.59,VA,1,-0.51973
的,160.8029264,160.9483583,2,50155.13,DEG,0,
小,161.4402673,162.1557921,2,1042.34,VA,1,-0.24365
孩子,161.4402673,162.1557921,2,1110.19,NN,1,-0.30125
们,161.4402673,162.1557921,2,1191.12,NN,1,-0.42527
对,162.1557921,162.2692289,2,3958.83,VA,1,-0.50846
大人,162.2692289,162.8022902,2,82.99,NN,1,-0.29478
们,162.2692289,162.8022902,2,1191.12,NN,1,-0.60237
应该,163.0342902,163.2582902,2,1127.12,VV,1,-0.52685
宽厚,163.2582902,163.6635564,2,0.42,NN,1,-0.25112
些,163.6635564,163.9142902,2,634.52,CD,0,
不,164.3848984,164.4634316,2,20543.44,AD,1,-0.44207
要,164.4634316,164.5681426,2,7114.18,VV,1,-0.5675
埋怨,164.5681426,164.9637172,2,3.52,VV,1,-0.39093
他们,164.9637172,165.3156623,2,4187.02,PN,0,
当然,166.4198769,166.8262902,2,784.37,AD,1,-0.54967
对,167.5542902,167.661865,2,3958.83,VA,1,-0.63296
我们,167.661865,167.8974646,2,11080.02,PN,0,
懂得,167.8974646,168.1715264,2,18.9,VV,1,-0.44426
生活,168.1715264,168.5147456,2,474.51,NN,1,-0.25453
的,168.5147456,168.6165479,2,50155.13,DEG,0,
人,168.6165479,168.7038071,2,5810.26,NN,1,-0.37299
来说,168.7038071,169.0982902,2,298.87,LC,0,
我们,169.6982902,169.9762873,2,11080.02,PN,0,
才,169.9762873,170.1449883,2,1094.48,AD,1,-0.37912
不,170.1449883,170.2438819,2,20543.44,AD,1,-0.67197
在乎,170.2438819,170.4882074,2,54.85,VV,1,-0.34773
那些,170.4882074,170.7267157,2,788.46,DT,0,
编号,170.7267157,171.1222904,2,6.98,NN,1,0.07517
呢,171.1222904,171.3084431,2,2287.93,SP,0,
我,171.8182902,171.9420597,2,50147.83,PN,0,
真,171.9420597,172.1194865,2,3053.82,VA,1,-0.10757
愿意,172.1194865,172.5062902,2,273.98,VV,1,-0.43897
像,172.7564781,172.9426309,2,1497.29,AD,1,-0.27436
讲,172.9426309,173.1084232,2,202.26,VV,1,-0.36379
神话,173.1084232,173.4720028,2,9.51,NN,1,-0.12194
那样,173.4720028,173.79849,2,521.51,VA,1,-0.41503
来,173.79849,173.9788255,2,5519.32,VV,1,-0.30407
开始,173.9788255,174.3045929,2,957.66,VV,1,-0.26115
这个,174.3045929,174.5314666,2,2744.19,PN,0,
故事,174.5314666,174.9302902,2,195.28,NN,1,-0.32771
我,175.6435714,175.742465,2,50147.83,PN,0,
真,175.742465,175.879171,2,3053.82,VA,1,-0.37352
想,175.879171,176.0536892,2,6325.1,VV,1,-0.47178
这样,176.0536892,176.3765479,2,1916.59,VA,1,-0.53439
说,176.3765479,176.696498,2,6765.38,VV,1,-0.46357
从前,177.5952669,178.0254067,2,12.19,NT,1,-0.46954
呀,178.0254067,178.2502902,2,318.96,IJ,0,
有,178.6914846,178.8543683,2,8618.15,VE,1,-0.35328
一,178.8543683,178.9648965,2,6069.96,CD,0,
个,178.9648965,179.0637902,2,5184,M,0,
小,179.0637902,179.2655222,2,1042.34,VA,1,-0.21365
王子,179.2655222,179.7622902,2,31.93,NN,1,-0.073206
他,180.3620784,180.4959668,2,11853.78,PN,0,
住,180.4959668,180.6559418,2,584.32,VV,1,-0.26257
在,180.6559418,180.7955564,2,12811.05,P,0,
一,180.7955564,180.9206278,2,6069.96,CD,0,
个,180.9206278,181.1222902,2,5184,M,0,
和,181.3336543,181.423822,2,4483.86,P,0,
他,181.423822,181.5692539,2,11853.78,PN,0,
身体,181.5692539,181.825214,2,142.01,NN,1,-0.34542
差不多,181.825214,182.2702355,2,99.15,VA,1,-0.37881
大,182.2702355,182.4243932,2,1343.24,VA,1,-0.30336
的,182.4243932,182.5232869,2,50155.13,DEG,0,
星球,182.5232869,182.8642923,2,43.34,NN,1,-0.26077
上,182.8642923,183.0742902,2,3409.33,VV,1,-0.29905
他,183.6961625,183.8328685,2,11853.78,PN,0,
希望,183.8328685,184.1964481,2,794.66,VV,1,-0.26975
有,184.1964481,184.2982504,2,8618.15,VE,1,-0.54347
一,184.2982504,184.4029614,2,6069.96,CD,0,
个,184.4029614,184.5134896,2,5184,M,0,
朋友,184.5134896,185.0827566,2,775.55,NN,1,-0.31519
对,186.2182902,186.2988405,2,3958.83,VA,1,-0.36966
懂得,186.2988405,186.6158819,2,18.9,VV,1,-0.37938
生活,186.6158819,186.9387406,2,474.51,NN,1,-0.33508
的,186.9387406,187.0143652,2,50155.13,DEG,0,
人,187.0143652,187.1452539,2,5810.26,NN,1,-0.41775
来说,187.1452539,187.5062902,2,298.87,LC,0,
这样,188.0527487,188.2796224,2,1916.59,VA,1,-0.46305
说,188.2796224,188.4982902,2,6765.38,VV,1,-0.4432
就,188.675832,188.7892689,2,8246.34,AD,1,-0.50396
显得,188.7892689,189.0539548,2,22.89,VV,1,-0.34811
真实,189.0539548,189.5716923,2,85.4,VA,1,-0.32633
我,190.9702902,191.1142902,2,50147.83,PN,0,
可,191.1142902,191.2699898,2,1374.9,AD,1,-0.23021
不,191.2699898,191.3747007,2,20543.44,AD,1,-0.4845
喜欢,191.3747007,191.6975595,2,1375.58,VV,1,-0.38371
人们,191.6975595,191.9273418,2,238.18,NN,1,-0.50128
轻率,191.9273418,192.3942902,2,2.41,VA,1,-0.49985
地,192.3942902,192.4741656,2,536.84,NN,1,-0.35108
读,192.4741656,192.637794,2,138.94,VV,1,-0.19372
我,192.637794,192.7308704,2,50147.83,PN,0,
的,192.7308704,192.8268554,2,50155.13,DEG,0,
书,192.8268554,193.0822902,2,213.2,NN,1,-0.24248
我,193.8902902,193.9903103,2,50147.83,PN,0,
在,193.9903103,194.0979299,2,12811.05,P,0,
讲述,194.0979299,194.4120627,2,9,VV,1,-0.14513
这些,194.4120627,194.6563882,2,1095.05,DT,0,
往事,194.6563882,194.9908815,2,7.18,NN,1,-0.18682
时,194.9908815,195.2342902,2,699.69,NN,1,-0.40954
心情,195.467827,195.78818,2,47.84,NN,1,-0.43499
是,195.78818,195.9132514,2,28253.52,VC,1,-0.32482
很,195.9132514,196.0412315,2,5979.28,AD,1,-0.42409
难过,196.0412315,196.4280802,2,47.84,VA,1,-0.35529
的,196.4280802,196.6200503,2,50155.13,DEG,0,
我,197.4342902,197.5282374,2,50147.83,PN,0,
的,197.5282374,197.6184051,2,50155.13,DEG,0,
朋友,197.6184051,198.0102902,2,775.55,NN,1,-0.39807
带,198.3142902,198.4124631,2,926.15,VV,1,-0.28149
着,198.4124631,198.517174,2,2983.65,VV,1,-0.34101
他,198.517174,198.6626059,2,11853.78,PN,0,
的,198.6626059,198.7411391,2,50155.13,DEG,0,
小羊,198.7411391,199.1622902,2,0.06,NN,1,-0.19371
已经,199.3421195,199.5515414,2,1543.29,AD,1,-0.36826
离去,199.5515414,199.8569483,2,10.22,VV,1,-0.37363
六,199.8569483,200.0401925,2,116.2,CD,0,
年,200.0401925,200.2670662,2,913.6,NN,1,-0.10396
了,200.2670662,200.4503103,2,28210.53,PU,0,
我,201.4217951,201.5352408,2,50147.83,PN,0,
之所以,201.5352408,202.1382902,2,17.32,AD,1,-0.2444
在,202.5154516,202.6172539,2,12811.05,P,0,
这里,202.6172539,202.8877572,2,1606.72,PN,0,
尽力,202.8877572,203.2047986,2,56.82,AD,1,-0.33053
地,203.2047986,203.2949664,2,536.84,NN,1,-0.31987
把,203.2949664,203.4113118,2,3712.28,BA,0,
他,203.4113118,203.5422005,2,11853.78,PN,0,
描写,203.5422005,203.8708765,2,3.76,VV,1,-0.23064
出来,203.8708765,204.211171,2,624.15,VV,1,-0.3756
就,204.9034266,205.0459499,2,8246.34,AD,1,-0.56484
是,205.0459499,205.1681126,2,28253.52,VC,1,-0.35483
为了,205.1681126,205.357174,2,544.74,P,0,
不要,205.357174,205.5869564,2,616.43,AD,1,-0.33828
忘记,205.5869564,205.9650792,2,108.27,VV,1,-0.33645
他,205.9650792,206.2551959,2,11853.78,PN,0,
忘记,207.2877621,207.6106209,2,108.27,VV,1,-0.44562
一,207.6106209,207.6902902,2,6069.96,CD,0,
个,207.6902902,207.7735046,2,5184,M,0,
朋友,207.7735046,208.2417951,2,775.55,NN,1,-0.29547
这,209.0337273,209.1326209,2,8554.9,PN,0,
太,209.1326209,209.356586,2,1942.11,AD,1,-0.27303
叫,209.356586,209.5689165,2,1032.83,VV,1,-0.27449
人,209.5689165,209.7085311,2,5810.26,NN,1,-0.30949
悲伤,209.7085311,210.0982885,2,29,VA,1,-0.40604
了,210.0982885,210.278624,2,28210.53,PU,0,
并,211.2975685,211.4226399,2,578.12,AD,1,-0.25776
不,211.4226399,211.5360768,2,20543.44,AD,1,-0.39936
是,211.5360768,211.6640568,2,28253.52,VC,1,-0.33208
所有,211.6640568,212.0247279,2,827.18,DT,0,
的,212.0247279,212.1148956,2,50155.13,DEG,0,
人,212.1148956,212.2982902,2,5810.26,NN,1,-0.52412
都,212.5382902,212.7082174,2,5294.71,AD,1,-0.43609
有,212.7082174,212.8361975,2,8618.15,VE,1,-0.44507
过,212.8361975,213.0102902,2,3350.21,VV,1,-0.40647
一,213.0102902,213.0834316,2,6069.96,CD,0,
个,213.0834316,213.1648735,2,5184,M,0,
朋友,213.1648735,213.6826109,2,775.55,NN,1,-0.32199
再,214.6569733,214.8285829,2,1684.82,AD,1,-0.34503
说,214.8285829,215.1142902,2,6765.38,VV,1,-0.41422
我,215.8262902,215.90187,2,50147.83,PN,0,
也,215.90187,216.0065809,2,3928.9,AD,1,-0.5533
可能,216.0065809,216.2829015,2,1324.25,VV,1,-0.45972
变成,216.2829015,216.6063887,2,181.93,VV,1,-0.34282
那些,216.6063887,216.8158106,2,788.46,DT,0,
大人,216.8158106,217.114339,2,82.99,NN,1,-0.22643
那样,217.114339,217.4822902,2,521.51,VA,1,-0.44039
只,218.2632506,218.3912307,2,2167.08,AD,1,-0.40579
对,218.3912307,218.5355953,2,3958.83,VA,1,-0.46693
数字,218.5355953,218.9806168,2,42.48,NN,1,-0.28223
感,218.9806168,219.1522264,2,92.35,VV,1,-0.33588
兴趣,219.1522264,219.620517,2,116.91,NN,1,-0.33459
也,221.1062902,221.1912009,2,3928.9,AD,1,-0.66667
正,221.1912009,221.351176,2,582.36,AD,1,-0.18624
是,221.351176,221.4907906,2,28253.52,VC,1,-0.43916
为了,221.4907906,221.6827606,2,544.74,P,0,
这个,221.6827606,221.944538,2,2744.19,PN,0,
缘故,221.944538,222.3622902,2,7.27,NN,1,-0.42791
我,222.8502902,222.9195972,2,50147.83,PN,0,
买,222.9195972,223.0831094,2,469.97,VV,1,-0.17077
了,223.0831094,223.1639228,2,28210.53,PU,0,
一,223.1639228,223.2657251,2,6069.96,CD,0,
盒,223.2657251,223.4205113,2,29.93,NN,1,-0.20395
颜料,223.4205113,223.7333637,2,3.46,NN,1,-0.32419
和,223.7333637,223.8886478,2,4483.86,P,0,
一些,223.8886478,224.0864351,2,510.72,CD,0,
铅笔,224.0864351,224.5542902,2,7.27,NN,1,-0.3813
像,225.1742654,225.3953218,2,1497.29,AD,1,-0.36169
我,225.3953218,225.5407537,2,50147.83,PN,0,
这样,225.5407537,225.7559817,2,1916.59,VA,1,-0.48416
年纪,225.7559817,226.0227616,2,36.87,NN,1,-0.22634
的,226.0227616,226.1274726,2,50155.13,DEG,0,
人,226.1274726,226.3302902,2,5810.26,NN,1,-0.28134
而且,226.84649,227.079181,2,578.42,AD,1,-0.51291
除了,227.079181,227.3380497,2,153.43,P,0,
六,227.3380497,227.5736493,2,116.2,CD,0,
岁,227.5736493,227.7772539,2,344.48,M,0,
时,227.7772539,228.0342902,2,699.69,NN,1,-0.40793
画,228.4022902,228.5302902,2,113.13,NN,1,-0.41642
过,228.5302902,228.6294846,2,3350.21,VV,1,-0.37859
闭,228.6294846,228.8214546,2,235.32,VV,1,-0.16394
着,228.8214546,228.9261656,2,2983.65,VV,1,-0.38619
肚皮,228.9261656,229.2609833,2,2.18,NN,1,-0.27397
的,229.2609833,229.4102902,2,50155.13,DEG,0,
和,229.5809334,229.6885529,2,4483.86,P,0,
开,229.6885529,229.8601625,2,816.24,VV,1,-0.18677
着,229.8601625,229.9619648,2,2983.65,VV,1,-0.56567
肚皮,229.9619648,230.2266508,2,2.18,NN,1,-0.30822
的,230.2266508,230.3080927,2,50155.13,DEG,0,
巨蟒,230.3080927,230.6629464,2,0.33,NN,1,-0.084146
外,230.6629464,230.8662902,2,120.97,NN,1,-0.2487
别的,231.3382902,231.5410182,2,185.12,DT,0,
什么,231.5410182,231.8784201,2,7050.42,PN,0,
也,231.8784201,232.023852,2,3928.9,AD,1,-0.2947
没有,232.023852,232.2274566,2,3226.48,VE,1,-0.40968
尝试,232.2274566,232.5881276,2,60.96,VV,1,-0.28916
过,232.5881276,232.8440877,2,3350.21,VV,1,-0.41829
现在,233.3152869,233.8182902,2,2626.8,NT,1,-0.37125
重新,234.0700147,234.5499399,2,138.23,AD,1,-0.34082
再,234.5499399,234.6721026,2,1684.82,AD,1,-0.44038
来,234.6721026,234.8029913,2,5519.32,VV,1,-0.41458
画画,234.8029913,235.2262902,2,7.9,VV,1,-0.16968
真,235.6835464,235.8987856,2,3053.82,VA,1,-0.083394
费劲,235.8987856,236.3438071,2,4.14,VA,1,-0.15114
啊,236.3438071,236.5386858,2,3903.92,IJ,0,
当然,237.6643284,238.0182902,2,784.37,AD,1,-0.4226
我,238.5622902,238.6401525,2,50147.83,PN,0,
一定,238.6401525,238.9455595,2,604.33,AD,1,-0.39576
要,238.9455595,239.117169,2,7114.18,VV,1,-0.57571
把,239.117169,239.2480577,2,3712.28,BA,0,
这些,239.2480577,239.5534646,2,1095.05,DT,0,
画,239.5534646,239.7302902,2,113.13,NN,1,-0.19779
尽量,240.011166,240.3194815,2,42.42,AD,1,-0.55224
地,240.3194815,240.4329184,2,536.84,NN,1,-0.31338
画,240.4329184,240.6262902,2,113.13,NN,1,-0.41913
得,240.6262902,240.7208735,2,3135.62,VV,1,-0.35982
逼真,240.7208735,241.0742902,2,2.27,VA,1,-0.39108
但,241.8822902,241.9929683,2,2034.22,AD,1,-0.46664
我,241.9929683,242.1151311,2,50147.83,PN,0,
自己,242.1151311,242.5382902,2,1728.29,PN,0,
也,242.7288535,242.8481076,2,3928.9,AD,1,-0.47812
没有,242.8481076,243.1564232,2,3226.48,VE,1,-0.41755
把握,243.1564232,243.5781756,2,16.37,VV,1,-0.43075
一,244.4342902,244.5118819,2,6069.96,CD,0,
张,244.5118819,244.6660397,2,332.26,NR,1,-0.036603
画,244.6660397,244.8434666,2,113.13,NN,1,-0.3809
得,244.8434666,244.9423602,2,3135.62,VV,1,-0.52252
还,244.9423602,245.0822902,2,3884.93,AD,1,-0.48623
可以,245.0822902,245.5622902,2,2360.84,VV,1,-0.41976
另,246.0582902,246.2472109,2,267.48,AD,1,-0.25786
一,246.2472109,246.3722823,2,6069.96,CD,0,
张,246.3722823,246.6182902,2,332.26,NR,1,-0.24545
就,246.8725679,247.0150911,2,8246.34,AD,1,-0.51408
不,247.0150911,247.1954266,2,20543.44,AD,1,-0.49706
像,247.1954266,247.4281176,2,1497.29,AD,1,-0.29932
了,247.4281176,247.6182902,2,28210.53,PU,0,
还有,248.2279928,248.4836827,2,1071.11,AD,1,-0.39651
身材,248.4836827,248.7978155,2,21.73,NN,1,-0.21546
大小,248.7978155,249.2822902,2,11.27,VA,1,-0.33551
我,249.6182902,249.7128934,2,50147.83,PN,0,
画,249.7128934,249.9048635,2,113.13,NN,1,-0.2856
得,249.9048635,250.0037572,2,3135.62,VV,1,-0.33639
有点,250.0037572,250.2539,2,175.79,AD,1,-0.39818
不,250.2539,250.3993318,2,20543.44,AD,1,-0.60287
准确,250.3993318,250.8662902,2,19.29,VA,1,-0.30331
在,251.787141,251.9151211,2,12811.05,P,0,
这个,251.9151211,252.1594466,2,2744.19,PN,0,
地方,252.1594466,252.5622902,2,696.29,NN,1,-0.31347
小,252.9884082,253.2094646,2,1042.34,VA,1,-0.29048
王子,253.2094646,253.695857,2,31.93,NN,1,-0.0039975
画,253.695857,253.9459998,2,113.13,NN,1,-0.40112
得,253.9459998,254.0361675,2,3135.62,VV,1,-0.47572
太,254.0361675,254.2048685,2,1942.11,AD,1,-0.26764
大,254.2048685,254.3968385,2,1343.24,VA,1,-0.29504
了,254.3968385,254.4957322,2,28210.53,PU,0,
些,254.4957322,254.7622902,2,634.52,CD,0,
另,255.4022902,255.5340247,2,267.48,AD,1,-0.18504
一,255.5340247,255.6503702,2,6069.96,CD,0,
个,255.6503702,255.7376293,2,5184,M,0,
地方,255.7376293,256.1062902,2,696.29,NN,1,-0.43849
又,256.3920727,256.4706059,2,1060.05,AD,1,-0.3441
画,256.4706059,256.6276723,2,113.13,NN,1,-0.33533
得,256.6276723,256.7149314,2,3135.62,VV,1,-0.4467
太,256.7149314,256.8807237,2,1942.11,AD,1,-0.37651
小,256.8807237,257.0988715,2,1042.34,VA,1,-0.26686
了,257.0988715,257.2637772,2,28210.53,PU,0,
些,257.2637772,257.5142902,2,634.52,CD,0,
对,258.3137952,258.4534098,2,3958.83,VA,1,-0.34065
他,258.4534098,258.6402923,2,11853.78,PN,0,
衣服,258.6402923,258.9137042,2,242.35,NN,1,-0.34493
的,258.9137042,258.9864201,2,50155.13,DEG,0,
颜色,258.9864201,259.4422902,2,50.77,NN,1,-0.32697
我,259.6662902,259.7950213,2,50147.83,PN,0,
也,259.7950213,259.9637222,2,3928.9,AD,1,-0.55023
拿,259.9637222,260.1440577,2,964.66,VV,1,-0.23667
不,260.1440577,260.2545859,2,20543.44,AD,1,-0.43354
准,260.2545859,260.4960028,2,66.45,VA,1,-0.10063
于是,261.5820646,262.0742902,2,58.13,AD,1,-0.37849
我,262.4982854,262.5913618,2,50147.83,PN,0,
就,262.5913618,262.7367936,2,8246.34,AD,1,-0.54791
摸索,262.7367936,263.2022902,2,1.46,VV,1,-0.25546
着,263.2022902,263.295252,2,2983.65,VV,1,-0.37031
这么,263.295252,263.6235705,2,1463.1,AD,1,-0.33778
试试,263.6235705,264.0307797,2,120.79,VV,1,-0.32233
那么,264.0307797,264.2954657,2,1245.85,AD,1,-0.56995
改,264.2954657,264.7812081,2,58.49,VV,1,-0.01451
改,264.2954657,264.7812081,2,58.49,VV,1,-0.21435
画,265.2262296,265.3994915,2,113.13,NN,1,-0.17526
个,265.3994915,265.4983852,2,5184,M,0,
大概,265.4983852,265.8241525,2,143.2,AD,1,-0.28778
齐,265.8241525,266.1942902,2,21.67,VA,1,0.00021873
我,267.0822902,267.1809733,2,50147.83,PN,0,
很,267.1809733,267.4252988,2,5979.28,AD,1,-0.46524
可能,267.4252988,267.7782902,2,1324.25,VV,1,-0.29969
在,267.9604881,268.1204631,2,12811.05,P,0,
某些,268.1204631,268.4113268,2,49.51,DT,0,
重要,268.4113268,268.7109165,2,348.08,VA,1,-0.13219
的,268.7109165,268.8010842,2,50155.13,DEG,0,
细节,268.8010842,269.0908105,2,41.73,NN,1,-0.31116
上,269.0908105,269.2100646,2,3409.33,VV,1,-0.36328
画,269.2100646,269.3933088,2,113.13,NN,1,-0.4061
错,269.3933088,269.6783552,2,1078.09,VA,1,-0.28132
了,269.6783552,269.8557821,2,28210.53,PU,0,
这,270.626571,270.7516424,2,8554.9,PN,0,
就,270.7516424,270.8767138,2,8246.34,AD,1,-0.44827
得,270.8767138,271.0582902,2,3135.62,VV,1,-0.32416
请,271.0582902,271.3222902,2,912.11,VV,1,-0.27225
大家,271.5118021,271.7735794,2,520.41,PN,0,
原谅,271.7735794,272.2215095,2,101.32,VV,1,-0.21591
我,272.2215095,272.4163882,2,50147.83,PN,0,
了,272.4163882,272.5382902,2,28210.53,PU,0,
因为,273.543166,273.8020347,2,1783.29,P,0,
我,273.8020347,273.9183802,2,50147.83,PN,0,
的,273.9183802,274.0114566,2,50155.13,DEG,0,
这个,274.0114566,274.2412389,2,2744.19,PN,0,
朋友,274.2412389,274.6582902,2,775.55,NN,1,-0.24623
从来,275.0294796,275.4082374,2,255.79,AD,1,-0.31093
也,275.4082374,275.5462902,2,3928.9,AD,1,-0.4891
不,275.5462902,275.6292938,2,20543.44,AD,1,-0.41877
加,275.6292938,275.7892689,2,152.33,VV,1,-0.12733
说明,275.7892689,276.1179449,2,88.03,VV,1,-0.3539
解释,276.1179449,276.5622902,2,181.48,VV,1,-0.45364
他,277.2730332,277.38647,2,11853.78,PN,0,
认为,277.38647,277.6744251,2,754,VV,1,-0.46945
我,277.6744251,277.7762274,2,50147.83,PN,0,
同,277.7762274,277.9681975,2,161,VA,1,-0.23924
他,277.9681975,278.1136293,2,11853.78,PN,0,
一样,278.1136293,278.4982902,2,860.33,VA,1,-0.45469
可是,279.6166128,280.0662902,2,349.93,AD,1,-0.4401
很,280.0662902,280.3350462,2,5979.28,AD,1,-0.51316
遗憾,280.3350462,280.7382902,2,76.31,VA,1,-0.2967
我,281.411242,281.4883122,2,50147.83,PN,0,
却,281.4883122,281.6453787,2,397.84,AD,1,-0.45476
不,281.6453787,281.7879019,2,20543.44,AD,1,-0.50714
能,281.7879019,281.9382902,2,4967.91,VV,1,-0.37501
透过,281.9382902,282.2125629,2,8.05,P,0,
盒子,282.2125629,282.6197721,2,43.61,NN,1,-0.21103
看见,282.6197721,282.9368136,2,341.08,VV,1,-0.29125
小羊,282.9368136,283.3782902,2,0.06,NN,1,-0.050961
我,284.2260946,284.3162623,2,50147.83,PN,0,
大概,284.3162623,284.6420297,2,143.2,AD,1,-0.28956
有点,284.6420297,284.9862902,2,175.79,AD,1,-0.48112
和,285.1801276,285.2615694,2,4483.86,P,0,
大人,285.2615694,285.6513268,2,82.99,NN,1,-0.26468
们,285.2615694,285.6513268,2,1191.12,NN,1,-0.43669
差不多,285.6513268,286.1622902,2,99.15,VA,1,-0.44512
我,287.0022902,287.3302902,2,50147.83,PN,0,
一定,287.9059099,288.1934086,2,604.33,AD,1,-0.42053
是,288.1934086,288.3160278,2,28253.52,VC,1,-0.41067
变,288.3160278,288.5487188,2,315.38,VV,1,-0.33959
老,288.5487188,288.7722274,2,490.39,VA,1,-0.28738
了,288.7722274,289.0485479,2,28210.53,PU,0,
每天,291.0262902,291.3293337,2,121.38,AD,1,-0.27959
我,291.3293337,291.4514965,2,50147.83,PN,0,
都,291.4514965,291.5591161,2,5294.71,AD,1,-0.45916
了解,291.5591161,291.864523,2,301.88,VV,1,-0.36475
到,291.864523,292.0902902,2,4159.42,VV,1,-0.35999
一些,292.4662902,292.690576,2,510.72,CD,0,
关于,292.690576,292.978531,2,306.02,P,0,
小,292.978531,293.159495,2,1042.34,VA,1,-0.27924
王子,293.159495,293.4445415,2,31.93,NN,1,0.0077391
的,293.4445415,293.5405265,2,50155.13,DEG,0,
星球,293.5405265,294.0262902,2,43.34,NN,1,-0.26661
他,294.163857,294.2831111,2,11853.78,PN,0,
